make,fines_share,fines,fines_total,,,,
מרצדס,2.87,85.6982,2986,,,,
BMW,1.92,57.3312,2986,,,,
וולבו,0.86,25.6796,2986,,,,
אאודי,1.66,49.5676,2986,,,,
רנו,3.96,118.2456,2986,,,,
לקסוס,0.58,17.3188,2986,,,,
סיטרואן,2.75,82.115,2986,,,,
קאדילאק,0.17,5.0762,2986,,,,
שברולט,3.2,95.552,2986,,,,
פורד,3.07,91.6702,2986,,,,
סוזוקי,2.9,86.594,2986,,,,
טויוטה,8.6,256.796,2986,,,,
פיאט,1.69,50.4634,2986,,,,
מיצובישי,3.4,101.524,2986,,,,
קיה,8.29,247.5394,2986,,,,
יונדאי,11.8,352.348,2986,,,,
הונדה,2.49,74.3514,2986,,,,
סקודה,5.47,163.3342,2986,,,,
סיאט,2.6,77.636,2986,,,,
