StationNumber,StationName,StationLongitude,StationLatitude,StationIsraelX,StationIsraelY,StationHeight
174,Herzliyya Airport,34.834,32.1803,184514,676365,32
179,Bet Dagan,34.8138,32.0073,182539,657187,31
180,Lod Airport,34.8828,32.0094,189060,657399,41
412,Mahanayim Airport,35.5719,32.981,253798,765161,277
495,Ramon Airport,35.0117,29.7137,200799,402849,82
502,Merom Golan Picman,35.8045,33.1288,275447,781653,945
503,Ayyelet Hashahar,35.5735,33.0244,253931,769974,170
506,Harashim,35.3287,32.956,231068,762335,830
507,Shave Ziyyon,35.0923,32.9836,208968,765395,5
511,Afeq,35.1123,32.8466,210824,750199,10
515,Haifa Refineries,35.0548,32.8034,205434,745414,5
516,Bet Zayda,35.6504,32.88,261183,753987,-200
517,Avne Etan,35.7622,32.8174,271682,747095,375
518,Haifa University,35.0208,32.7611,202242,740728,475
519,Haifa Technion,35.0223,32.7736,202385,742114,245
520,Yavneel,35.5101,32.6978,248112,733734,0
521,Tavor Kadoorie,35.4069,32.7053,238433,734543,145
523,En Hashofet,35.0964,32.6028,209308,723163,265
524,En Karmel,34.9594,32.6808,196468,731834,25
526,Afula Nir Haemeq,35.2769,32.596,226252,722406,60
528,Zikhron Yaaqov,34.9546,32.5724,195989,719814,175
529,Hadera Port,34.8815,32.4732,189092,708831,5
530,Tel Yosef,35.3945,32.5462,237302,716897,-65
531,Sede Eliyyahu,35.5106,32.439,248241,705034,-185
532,Eden Farm,35.4888,32.4679,246183,708233,-120
539,Hakfar Hayarok,34.8324,32.13,184344,670787,65
541,Qarne Shomeron,35.0959,32.1752,209213,675744,330
542,Itamar,35.3513,32.1598,233303,674041,820
545,Har Harasha,35.1499,31.9449,214293,650203,770
547,Gilgal,35.4509,31.9973,242739,656038,-255
550,Nahshon,34.9616,31.8341,196461,637941,180
551,Jerusalem Givat Ram,35.1973,31.7704,218773,630852,770
554,Bet Haarava,35.501,31.8052,247532,634749,-330
556,Ashdod Port,34.6377,31.8342,165800,638066,5
557,Beit Jimal,34.9762,31.7248,197818,625818,355
559,Gat,34.7913,31.6003,180242,612065,140
560,Netiv Halamed He,34.9744,31.6898,197639,621938,275
562,Dorot,34.648,31.5036,166588,601403,115
563,Shani,35.0662,31.3568,206296,585000,700
564,En Gedi,35.3871,31.42,236818,592013,-415
565,Besor Farm,34.3894,31.2716,141829,575832,110
567,Lahav,34.8729,31.3812,187912,587745,460
568,Nevatim,34.9227,31.205,192600,568195,350
569,Beer Sheva University,34.7995,31.2515,180877,573387,300
576,Ezuz,34.4715,30.7911,149297,522501,335
577,Avdat,34.7712,30.7877,177981,521975,555
582,Mizpe Ramon,34.8046,30.6101,181108,502273,845
588,Neot Smadar,35.0233,30.048,201980,439905,400
594,Yotvata,35.0771,29.8851,207149,421840,70
602,Dafna,35.635,33.2277,259584,792544,135
603,Kefar Giladi,35.5696,33.2404,253483,793930,365
604,Kefar Blum,35.6133,33.1716,257585,786314,75
606,Zefat Har Kenaan,35.507,32.98,247732,765030,936
607,Elon,35.2173,33.0653,220651,774450,300
608,Rosh Haniqra,35.1079,33.0806,210436,776151,10
612,Gamla,35.7487,32.9052,270368,756825,405
613,Ammiad,35.5135,32.915,248360,757823,215
614,Eshhar,35.3015,32.8844,228532,754391,370
616,Deir Hanna,35.3741,32.8621,235330,751927,280
617,Kefar Nahum,35.5792,32.8835,254519,754350,-200
619,Newe Yaar,35.1784,32.7078,217008,734802,115
620,Massada,35.6008,32.6833,256623,732154,-200
621,Zemah,35.5839,32.7024,255031,734267,-200
628,Maale Gilboa,35.415,32.481,239242,709670,495
630,Galed,35.0725,32.5564,207058,718020,180
634,En Hahoresh,34.9376,32.3877,194342,699335,15
639,Ariel,35.2114,32.1056,220107,668021,685
642,Maale Adummim,35.2961,31.774,228132,631255,490
644,Tel Aviv Coast,34.7588,32.058,177366,662830,10
645,Bet Dagan,34.8138,32.0073,182539,657187,31
646,Bet Dagan,34.8138,32.0073,182539,657187,31
652,Jerusalem Centre,35.2217,31.7806,221085,631983,810
653,Nizzan,34.6348,31.7319,165466,626724,30
654,Qevuzat Yavne,34.7244,31.8166,173998,636075,50
655,Hafez Hayyim,34.805,31.791,181619,633205,80
656,Zova,35.1258,31.7878,212002,632784,710
658,Negba,34.6798,31.6585,169691,618564,95
661,Rosh Zurim,35.1233,31.6644,211755,619101,950
662,Metzoke Dragot,35.3916,31.5881,237214,610653,20
663,Arad,35.1855,31.25,217646,573150,564
665,Ashqelon Port,34.5215,31.6394,154664,616529,5
669,Beer Sheva,34.7995,31.2515,180877,573387,279
671,Ashalim,34.7079,30.9831,172019,543664,305
672,Zomet Hanegev,34.8513,31.0708,185748,553335,360
674,Sede Boqer,34.795,30.8702,180293,531113,475
678,Sedom,35.3919,31.0306,237347,548840,-388
679,Hazeva,35.2389,30.7787,222748,520897,-135
687,Paran,35.1479,30.3655,214014,475089,100
699,Elat,34.9517,29.5528,194955,385025,21
725,Haifa Airport,35.0431,32.8094,204340,746081,5
