,Lag,Cor
0,-60.0,-0.003133085507586911
1,-59.0,-0.0035456288536882064
2,-58.0,-0.00826948279485543
3,-57.0,-0.014421886614910754
4,-56.0,-0.0189870330213883
5,-55.0,-0.02374846582006567
6,-54.0,-0.02063438522217086
7,-53.0,-0.019140580800264224
8,-52.0,-0.012116730023369665
9,-51.0,-0.0002888395129347914
10,-50.0,-0.0076131396624542136
11,-49.0,-0.01605413288036837
12,-48.0,-0.027121314317936532
13,-47.0,-0.029684297780346886
14,-46.0,-0.031497608425917964
15,-45.0,-0.03078758829982162
16,-44.0,-0.029273040573123438
17,-43.0,-0.03155132164008686
18,-42.0,-0.0254148721624738
19,-41.0,-0.02527136583502257
20,-40.0,-0.01618266230599083
21,-39.0,-0.014822820421459333
22,-38.0,-0.006811447886789466
23,-37.0,-0.003187343741425878
24,-36.0,-0.01680300734171982
25,-35.0,-0.010861142989858324
26,-34.0,-0.0006469298250299087
27,-33.0,-0.0028499837024244545
28,-32.0,-0.010763317468464163
29,-31.0,-0.007275381375108661
30,-30.0,-0.004080950547179297
31,-29.0,-0.004982418465318798
32,-28.0,0.0010737346309519843
33,-27.0,0.00850264557728547
34,-26.0,0.02014190946610964
35,-25.0,0.020929833764713614
36,-24.0,0.030771185876455474
37,-23.0,0.04763829331214776
38,-22.0,0.033423244904767044
39,-21.0,0.03369463441461654
40,-20.0,0.03847603192422344
41,-19.0,0.040813040945985424
42,-18.0,0.05507768642715352
43,-17.0,0.05807208687591143
44,-16.0,0.05651199057559038
45,-15.0,0.055461207379925825
46,-14.0,0.05071246898552191
47,-13.0,0.047407760329108595
48,-12.0,0.051057039546719266
49,-11.0,0.046647512384379676
50,-10.0,0.04574049781565581
51,-9.0,0.04693244838631039
52,-8.0,0.04482050161927075
53,-7.0,0.04281204465963394
54,-6.0,0.04433975423365253
55,-5.0,0.029103785891136633
56,-4.0,0.046382785349645426
57,-3.0,0.042596202749924685
58,-2.0,0.05039414415207016
59,-1.0,0.035464019190082
60,0.0,0.02766642898901764
61,1.0,0.037574363662153755
62,2.0,0.027232428600514485
63,3.0,0.021992221432272835
64,4.0,0.00842641825219354
65,5.0,0.01048714312640436
66,6.0,0.018611401591321824
67,7.0,0.019218748199558024
68,8.0,0.014759897613750263
69,9.0,-0.009344042889899052
70,10.0,0.0033157272101048173
71,11.0,0.008987331600542875
72,12.0,0.0023241977048965986
73,13.0,0.001195979555544924
74,14.0,0.0011474638394542184
75,15.0,0.002480050274924935
76,16.0,0.0008605809106223161
77,17.0,-0.006476775113162636
78,18.0,-0.00827990862077257
79,19.0,-0.004490413336701821
80,20.0,-0.006633441205358748
81,21.0,-0.005548624614315398
82,22.0,0.0008900577658802422
83,23.0,-0.012780045301097389
84,24.0,-0.016895781205075056
85,25.0,-0.0358025398039246
86,26.0,-0.03962921754878854
87,27.0,-0.043667869928790806
88,28.0,-0.048305678666266186
89,29.0,-0.04063041240552513
90,30.0,-0.04732936357937566
91,31.0,-0.03829261372392748
92,32.0,-0.029536921907039704
93,33.0,-0.035286521639573215
94,34.0,-0.03823861839893342
95,35.0,-0.04414878542950723
96,36.0,-0.0470016301995217
97,37.0,-0.033017939200115386
98,38.0,-0.031900178811002655
99,39.0,-0.03234829470026218
100,40.0,-0.014355061172630242
101,41.0,-0.04430844158740271
102,42.0,-0.031559018667945075
103,43.0,-0.02568956347505915
104,44.0,-0.015696643278933494
105,45.0,-0.02711637814546377
106,46.0,-0.04022287066622582
107,47.0,-0.02350590871389869
108,48.0,-0.023837942353664415
109,49.0,-0.014195492321996376
110,50.0,-0.018845840181661824
111,51.0,-0.02292414081657651
112,52.0,-0.027082830741664652
113,53.0,-0.026728853338680823
114,54.0,-0.022662097865106447
115,55.0,-0.03357111166697787
116,56.0,-0.029816387489937285
117,57.0,-0.015041574264811643
118,58.0,-0.016117119723328497
119,59.0,-0.0128849197064197
